Alpha,Learning Rate,Eta,Reward
0.002,0.1,0.1,9.0
0.002,0.1,0.2,13.0
0.002,0.01,0.002,12.0
0.002,0.01,0.005,13.0
0.002,0.01,0.01,10.0
0.002,0.01,0.05,16.0
0.002,0.01,0.1,12.0
0.002,0.01,0.2,11.0
0.002,0.001,0.005,11.0
0.002,0.001,0.01,11.0
0.002,0.001,0.05,11.0
0.002,0.001,0.1,11.0
0.002,0.001,0.2,11.0
0.002,0.0001,0.002,47.0
0.002,0.0001,0.005,19.0
0.002,0.0001,0.01,27.0
0.002,0.0001,0.05,27.0
0.002,0.0001,0.1,27.0
0.002,0.0001,0.2,27.0
0.005,0.1,0.002,11.0
0.005,0.1,0.005,14.0
0.005,0.1,0.05,12.0
0.005,0.1,0.1,9.0
0.005,0.01,0.002,8.0
0.005,0.01,0.005,11.0
0.005,0.01,0.01,21.0
0.005,0.01,0.05,51.0
0.005,0.01,0.1,15.0
0.005,0.01,0.2,11.0
0.005,0.001,0.002,33.0
0.005,0.001,0.005,18.0
0.005,0.001,0.01,8.0
0.005,0.001,0.05,14.0
0.005,0.001,0.1,14.0
0.005,0.001,0.2,14.0
0.005,0.0001,0.002,18.0
0.005,0.0001,0.005,19.0
0.005,0.0001,0.01,17.0
0.005,0.0001,0.05,37.0
0.005,0.0001,0.1,37.0
0.005,0.0001,0.2,37.0
0.01,0.01,0.002,14.0
0.01,0.01,0.005,24.0
0.01,0.01,0.05,8.0
0.01,0.01,0.1,8.0
0.01,0.01,0.2,11.0
0.01,0.001,0.002,20.0
0.01,0.001,0.005,23.0
0.01,0.001,0.01,21.0
0.01,0.001,0.05,14.0
0.01,0.001,0.1,14.0
0.01,0.001,0.2,14.0
0.01,0.0001,0.002,13.0
0.01,0.0001,0.005,13.0
0.01,0.0001,0.01,8.0
0.01,0.0001,0.05,19.0
0.01,0.0001,0.1,19.0
0.01,0.0001,0.2,19.0
0.05,0.1,0.05,8.0
0.05,0.01,0.002,11.0
0.05,0.01,0.005,11.0
0.05,0.01,0.01,11.0
0.05,0.01,0.05,43.0
0.05,0.01,0.2,11.0
0.05,0.001,0.002,12.0
0.05,0.001,0.005,8.0
0.05,0.001,0.01,8.0
0.05,0.001,0.05,8.0
0.05,0.001,0.1,15.0
0.05,0.0001,0.002,11.0
0.05,0.0001,0.005,84.0
0.05,0.0001,0.01,23.0
0.05,0.0001,0.05,13.0
0.05,0.0001,0.1,32.0
0.05,0.0001,0.2,8.0
0.1,0.1,0.01,19.0
0.1,0.1,0.05,53.0
0.1,0.1,0.1,20.0
0.1,0.01,0.002,13.0
0.1,0.01,0.005,13.0
0.1,0.01,0.1,48.0
0.1,0.01,0.2,79.0
0.1,0.001,0.002,8.0
0.1,0.001,0.005,12.0
0.1,0.001,0.01,8.0
0.1,0.001,0.05,8.0
0.1,0.001,0.1,8.0
0.1,0.001,0.2,14.0
0.1,0.0001,0.002,16.0
0.1,0.0001,0.005,19.0
0.1,0.0001,0.01,39.0
0.1,0.0001,0.05,24.0
0.1,0.0001,0.1,19.0
0.1,0.0001,0.2,14.0
0.2,0.1,0.002,13.0
0.2,0.1,0.01,8.0
0.2,0.1,0.05,20.0
0.2,0.1,0.1,26.0
0.2,0.01,0.002,21.0
0.2,0.01,0.005,14.0
0.2,0.01,0.01,13.0
0.2,0.01,0.05,17.0
0.2,0.01,0.1,18.0
0.2,0.01,0.2,17.0
0.2,0.001,0.002,15.0
0.2,0.001,0.005,13.0
0.2,0.001,0.01,21.0
0.2,0.001,0.05,8.0
0.2,0.001,0.1,13.0
0.2,0.001,0.2,25.0
0.2,0.0001,0.002,8.0
0.2,0.0001,0.005,20.0
0.2,0.0001,0.01,20.0
0.2,0.0001,0.05,31.0
0.2,0.0001,0.1,73.0
0.2,0.0001,0.2,17.0
